epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4287,0.88355,2.00928,1.03064,0.93946,0.44457,0.56552,0.45341,0.80176,2.334,0.93283,0.00046,0.00046,0.00046
2,80.4378,0.81665,1.22058,0.9763,0.93604,0.45735,0.64212,0.53561,0.78368,2.16098,0.93945,0.000921388,0.000921388,0.000921388
3,119.028,0.82445,1.14587,0.98841,0.61086,0.49055,0.58561,0.4547,0.8256,1.86488,0.96787,0.00136377,0.00136377,0.00136377
4,152.895,0.83203,1.14109,0.97728,0.67808,0.33594,0.45352,0.33719,0.87614,2.05104,1.02746,0.00178714,0.00178714,0.00178714
5,187.675,0.77208,1.02937,0.96286,0.59441,0.78906,0.72159,0.58343,0.7743,1.37334,0.95266,0.0018416,0.0018416,0.0018416
6,222.987,0.77705,1.00689,0.97142,0.72594,0.81395,0.85643,0.69932,0.73324,1.13938,0.93198,0.001802,0.001802,0.001802
7,258.152,0.76,0.94084,0.96203,0.83598,0.90104,0.95003,0.79141,0.68646,0.88084,0.92153,0.0017624,0.0017624,0.0017624
8,294.929,0.75772,0.9017,0.96386,0.82589,0.94792,0.94554,0.79086,0.67249,0.96888,0.90317,0.0017228,0.0017228,0.0017228
9,332.841,0.74706,0.84004,0.94603,0.84077,0.89062,0.92828,0.7495,0.73897,0.90384,0.96364,0.0016832,0.0016832,0.0016832
10,369.828,0.74121,0.861,0.96575,0.8628,0.88802,0.93936,0.77416,0.68708,0.84016,0.9439,0.0016436,0.0016436,0.0016436
11,405.385,0.6846,0.81266,0.94523,0.89191,0.91667,0.96095,0.80295,0.65824,0.80687,0.92603,0.001604,0.001604,0.001604
12,440.599,0.7079,0.81663,0.93833,0.87563,0.93229,0.95223,0.79555,0.64927,0.76949,0.90076,0.0015644,0.0015644,0.0015644
13,477.449,0.68009,0.71473,0.91903,0.88006,0.9554,0.96433,0.81701,0.63028,0.72172,0.88775,0.0015248,0.0015248,0.0015248
14,513.166,0.67397,0.74341,0.9251,0.88233,0.95833,0.96695,0.82646,0.59958,0.6571,0.87335,0.0014852,0.0014852,0.0014852
15,547.554,0.65245,0.70543,0.91241,0.86067,0.94908,0.9598,0.81413,0.60572,0.65865,0.88519,0.0014456,0.0014456,0.0014456
16,583.552,0.67329,0.69636,0.92323,0.91143,0.92188,0.96756,0.82577,0.60453,0.63992,0.88312,0.001406,0.001406,0.001406
17,623.543,0.64864,0.67451,0.90987,0.91368,0.9401,0.97436,0.83305,0.61555,0.63618,0.88975,0.0013664,0.0013664,0.0013664
18,663.88,0.65954,0.67986,0.91609,0.88175,0.92708,0.95671,0.80792,0.59727,0.63977,0.87986,0.0013268,0.0013268,0.0013268
19,701.665,0.63879,0.64231,0.90153,0.93421,0.9375,0.97827,0.84509,0.58277,0.60053,0.86566,0.0012872,0.0012872,0.0012872
20,737.45,0.6353,0.63308,0.91063,0.92408,0.95088,0.97791,0.84181,0.58109,0.5823,0.86813,0.0012476,0.0012476,0.0012476
21,772.82,0.62136,0.59719,0.90186,0.88621,0.93298,0.97092,0.84648,0.5678,0.56662,0.86882,0.001208,0.001208,0.001208
22,808.029,0.59774,0.60813,0.90259,0.87531,0.96887,0.97335,0.84719,0.58366,0.5708,0.87456,0.0011684,0.0011684,0.0011684
23,843.976,0.61129,0.60617,0.90324,0.89345,0.9401,0.96518,0.83657,0.59017,0.56813,0.87877,0.0011288,0.0011288,0.0011288
24,881.277,0.6462,0.59508,0.91203,0.91707,0.95027,0.96856,0.83423,0.59343,0.55345,0.87156,0.0010892,0.0010892,0.0010892
25,921.13,0.65754,0.60584,0.90686,0.91519,0.9555,0.9764,0.81612,0.65514,0.57645,0.89827,0.0010496,0.0010496,0.0010496
26,961.012,0.62108,0.5838,0.90042,0.9286,0.96354,0.97811,0.84953,0.5653,0.53258,0.867,0.00101,0.00101,0.00101
27,1001.31,0.59983,0.58347,0.89324,0.92752,0.96639,0.97687,0.8651,0.53145,0.51005,0.8595,0.0009704,0.0009704,0.0009704
28,1035.43,0.60284,0.56221,0.90169,0.9132,0.95891,0.97404,0.85794,0.52803,0.50244,0.85642,0.0009308,0.0009308,0.0009308
29,1070.98,0.60677,0.5284,0.89609,0.93204,0.9349,0.97651,0.85635,0.53938,0.49323,0.85759,0.0008912,0.0008912,0.0008912
30,1109.22,0.5811,0.53717,0.89303,0.9448,0.9349,0.98214,0.86625,0.52432,0.49003,0.85228,0.0008516,0.0008516,0.0008516
31,1148.43,0.57665,0.53815,0.88415,0.91455,0.97555,0.98373,0.87576,0.51123,0.47631,0.84726,0.000812,0.000812,0.000812
32,1187.92,0.55827,0.52214,0.89289,0.91494,0.98045,0.97963,0.87379,0.50539,0.47858,0.84836,0.0007724,0.0007724,0.0007724
33,1230.85,0.55268,0.49919,0.87851,0.92767,0.97656,0.97923,0.86938,0.50903,0.46813,0.85054,0.0007328,0.0007328,0.0007328
34,1270.94,0.55342,0.53325,0.88497,0.93028,0.97135,0.98179,0.87215,0.50917,0.46209,0.84921,0.0006932,0.0006932,0.0006932
35,1307.35,0.55702,0.50877,0.88556,0.93004,0.9693,0.98169,0.87687,0.4965,0.45558,0.84792,0.0006536,0.0006536,0.0006536
36,1344.21,0.54127,0.49368,0.88002,0.91289,0.98248,0.98355,0.87772,0.49876,0.44928,0.84847,0.000614,0.000614,0.000614
37,1380.12,0.52394,0.47317,0.87304,0.92659,0.97656,0.98444,0.88466,0.4837,0.4405,0.8428,0.0005744,0.0005744,0.0005744
38,1415.5,0.54475,0.48527,0.87189,0.92327,0.98438,0.98384,0.88038,0.48111,0.42245,0.8418,0.0005348,0.0005348,0.0005348
39,1449.99,0.53274,0.48427,0.88322,0.93286,0.97693,0.98396,0.88402,0.47999,0.42254,0.84142,0.0004952,0.0004952,0.0004952
40,1484.49,0.52059,0.46541,0.87339,0.94646,0.96676,0.98531,0.88383,0.47761,0.4172,0.84141,0.0004556,0.0004556,0.0004556
41,1519.15,0.50636,0.47925,0.83975,0.94458,0.96615,0.98576,0.8843,0.48502,0.43136,0.84207,0.000416,0.000416,0.000416
42,1556.12,0.51947,0.50793,0.85255,0.93775,0.9807,0.98403,0.87806,0.4876,0.42666,0.84163,0.0003764,0.0003764,0.0003764
43,1591.45,0.50005,0.45023,0.85078,0.92427,0.97917,0.98306,0.87784,0.48016,0.42767,0.84072,0.0003368,0.0003368,0.0003368
44,1626.43,0.4861,0.45061,0.83405,0.94221,0.97396,0.98531,0.88493,0.47396,0.41749,0.83985,0.0002972,0.0002972,0.0002972
45,1661.77,0.48613,0.46042,0.83564,0.94393,0.96444,0.98765,0.88956,0.47078,0.41291,0.83817,0.0002576,0.0002576,0.0002576
46,1696.59,0.49031,0.44136,0.83928,0.94448,0.97135,0.9882,0.89158,0.46281,0.40022,0.83436,0.000218,0.000218,0.000218
47,1732.2,0.47342,0.4339,0.83982,0.94545,0.97656,0.98733,0.89752,0.46413,0.38933,0.83264,0.0001784,0.0001784,0.0001784
48,1768.39,0.47645,0.42986,0.83202,0.95182,0.97758,0.98627,0.89564,0.46276,0.38195,0.83201,0.0001388,0.0001388,0.0001388
49,1803.32,0.46506,0.43116,0.83025,0.95354,0.97917,0.98601,0.89402,0.45723,0.37675,0.83103,9.92e-05,9.92e-05,9.92e-05
50,1836.38,0.46668,0.41586,0.84219,0.95195,0.98016,0.98643,0.89893,0.45092,0.37402,0.8295,5.96e-05,5.96e-05,5.96e-05
